order_id,order_date,shipping_mode,product_category,product_subcategory,weight_kg,distance_km,shipping_cost,expected_delivery_date,actual_delivery_date,delay_days,is_delayed,warehouse_region,customer_segment
ORDER-00001,2023-04-13,Second Class,Technology,Accessories,27.15,279.9,469.49,2023-04-15,2023-04-15,0,0,North,Home Office
ORDER-00002,2024-03-11,First Class,Office Supplies,Binders,45.7,266.2,992.15,2024-03-15,2024-03-17,2,1,West,Corporate
ORDER-00003,2023-09-28,Standard Class,Office Supplies,Pens,19.7,329.4,337.41,2023-09-29,2023-10-01,2,1,North,Home Office
ORDER-00004,2023-04-17,Second Class,Office Supplies,Binders,41.56,120.4,310.53,2023-04-19,2023-04-20,1,1,East,Consumer
ORDER-00005,2023-03-13,Standard Class,Furniture,Tables,7.12,432.9,171.07,2023-03-14,2023-03-16,2,1,East,Home Office
ORDER-00006,2023-01-21,Second Class,Office Supplies,Binders,46.8,158.1,455.59,2023-01-23,2023-01-25,2,1,West,Corporate
ORDER-00007,2023-05-02,Standard Class,Technology,Copiers,37.7,348.6,666.89,2023-05-06,2023-05-08,2,1,North,Corporate
ORDER-00008,2024-04-11,Standard Class,Furniture,Chairs,47.1,13.0,46.46,2024-04-16,2024-04-19,3,1,East,Home Office
ORDER-00009,2023-08-03,Standard Class,Technology,Accessories,33.99,189.5,339.08,2023-08-07,2023-08-08,1,1,East,Corporate
ORDER-00010,2023-11-27,First Class,Office Supplies,Pens,18.49,179.1,281.8,2023-11-28,2023-11-30,2,1,North,Corporate
ORDER-00011,2024-04-03,Standard Class,Technology,Copiers,46.94,274.0,662.74,2024-04-09,2024-04-14,5,1,North,Corporate
ORDER-00012,2023-03-29,Second Class,Furniture,Furnishings,14.14,41.0,51.58,2023-03-30,2023-03-30,0,0,South,Consumer
ORDER-00013,2024-01-08,Same Day,Furniture,Bookcases,16.94,396.1,687.54,2024-01-09,2024-01-09,0,0,West,Consumer
ORDER-00014,2023-04-10,Standard Class,Office Supplies,Paper,35.19,112.8,216.33,2023-04-16,2023-04-19,3,1,West,Corporate
ORDER-00015,2023-05-11,Second Class,Furniture,Tables,38.38,340.1,788.19,2023-05-17,2023-05-18,1,1,North,Home Office
ORDER-00016,2023-11-05,Standard Class,Technology,Copiers,46.51,402.6,946.68,2023-11-10,2023-11-14,4,1,West,Consumer
ORDER-00017,2023-12-10,First Class,Technology,Phones,10.64,283.1,257.04,2023-12-12,2023-12-13,1,1,East,Home Office
ORDER-00018,2024-05-06,Standard Class,Furniture,Bookcases,40.0,371.7,757.4,2024-05-12,2024-05-16,4,1,North,Corporate
ORDER-00019,2024-02-18,Second Class,Office Supplies,Pens,37.06,332.6,747.23,2024-02-22,2024-02-25,3,1,North,Corporate
ORDER-00020,2024-01-21,First Class,Office Supplies,Pens,3.66,181.0,62.55,2024-01-27,2024-01-27,0,0,North,Home Office
ORDER-00021,2023-07-11,Same Day,Office Supplies,Pens,19.67,405.4,807.47,2023-07-12,2023-07-12,0,0,South,Consumer
ORDER-00022,2023-10-04,Second Class,Technology,Copiers,14.5,150.9,144.8,2023-10-08,2023-10-08,0,0,West,Home Office
ORDER-00023,2023-06-10,Standard Class,Technology,Phones,15.57,287.8,241.53,2023-06-15,2023-06-15,0,0,South,Home Office
ORDER-00024,2024-04-04,Second Class,Office Supplies,Binders,49.16,374.0,1122.14,2024-04-07,2024-04-08,1,1,East,Corporate
ORDER-00025,2023-11-10,First Class,Technology,Accessories,32.32,192.6,514.24,2023-11-14,2023-11-16,2,1,West,Consumer
ORDER-00026,2023-01-22,Second Class,Office Supplies,Binders,36.02,154.9,352.41,2023-01-30,2023-01-30,0,0,South,Home Office
ORDER-00027,2023-09-10,Standard Class,Technology,Accessories,48.84,232.4,579.57,2023-09-14,2023-09-15,1,1,North,Consumer
ORDER-00028,2024-04-19,Same Day,Office Supplies,Paper,19.17,409.9,796.62,2024-04-20,2024-04-20,0,0,South,Corporate
ORDER-00029,2023-02-28,Second Class,Technology,Machines,40.19,465.3,1132.92,2023-03-07,2023-03-11,4,1,North,Consumer
ORDER-00030,2024-05-25,Second Class,Technology,Machines,22.01,274.8,377.14,2024-05-30,2024-05-30,0,0,South,Corporate
ORDER-00031,2024-04-20,Standard Class,Furniture,Chairs,43.54,332.4,730.5,2024-04-21,2024-04-22,1,1,South,Consumer
ORDER-00032,2023-07-09,Second Class,Technology,Phones,9.44,452.1,269.76,2023-07-12,2023-07-12,0,0,South,Home Office
ORDER-00033,2023-09-01,Standard Class,Furniture,Bookcases,47.41,53.8,142.51,2023-09-05,2023-09-06,1,1,North,Corporate
ORDER-00034,2024-05-19,Second Class,Office Supplies,Pens,11.33,119.9,93.09,2024-05-21,2024-05-24,3,1,South,Home Office
ORDER-00035,2023-05-11,Standard Class,Office Supplies,Pens,16.65,355.9,315.58,2023-05-14,2023-05-15,1,1,West,Corporate
ORDER-00036,2024-04-29,Second Class,Technology,Accessories,37.93,412.8,953.57,2024-05-02,2024-05-05,3,1,West,Consumer
ORDER-00037,2023-01-21,Same Day,Technology,Copiers,19.99,429.2,866.27,2023-01-22,2023-01-22,0,0,West,Consumer
